19:1 | KaafHaYa'aeenSaad.
19:2 | A mention of the Mercy of your Lord to his worshiper Zachariah,
19:3 | when he called upon his Lord in secret,
19:4 | saying: 'O my Lord, my bones are enfeebled, and my head glows silver with age. Yet, never Lord, have I been unblessed in prayer to You.
19:5 | Indeed, I fear my kinsmen who will succeed me, for my wife is barren. Grant me a kinsman
19:6 | who will be my heir and an heir to the House of Jacob, and make him, my Lord, satisfied'
19:7 | 'O Zachariah, We give you good tidings of a son, and he shall be called John (Yahya); a name We have never given before'
19:8 | 'How shall I have a son, Lord' he asked, 'when my wife is barren, and I am advanced in years'
19:10 | He (Zachariah) said: 'Lord, make for me a sign' He replied: 'Your sign is that you shall not speak to people for three nights being without fault'
19:11 | Then he came out from the Sanctuary to his nation, and gestured to them to exalt (their Lord) at the dawn and at the evening.
19:12 | (We said): 'O John, hold fast to the Book', and We bestowed on him judgment while yet a child
19:13 | and tenderness from Us and purity, and he was cautious;
19:14 | honoring his parents, being neither arrogant nor rebellious.
19:15 | Peace be upon him on the day he was born and the day he dies, and on him the day when he is raised up alive.
19:16 | And mention in the Book, Mary, how she withdrew from her people to an eastern place and she took a veil apart from them;
19:17 | We sent to her Our Spirit (Gabriel) in the resemblance of a perfect human.
19:18 | (And when she saw him) she said: 'I take refuge in the Merciful from you! If you are fearful'
19:19 | 'I am the Messenger of your Lord' he replied, 'and have come to give you a pure boy'
19:20 | 'How shall I bear a son' she answered, 'when I am not touched by a human and not unchaste'
19:22 | Thereupon she carried him, and retired to a far off place.
19:23 | And when the birthpangs came upon her by the trunk of a palmtree, she said: 'Oh, would that I had died before this and become a thing forgotten'
19:24 | He called from below to her: 'Do not sorrow, look, your Lord has provided a rivulet below you,
19:25 | and shake the trunk of this palmtree it will drop fresh ripe dates upon you.
19:27 | She came to her nation, carrying him; and they said: 'O Mary, you have committed a monstrous thing.
19:28 | O sister of Aaron, your father was never an evil man, nor was your mother unchaste'
19:29 | So she pointed to him (Prophet Jesus). But they replied: 'How can we speak with a baby in the cradle'
19:30 | He (the baby) said: 'I am the worshiper of Allah. Allah has given me the Book and made me a Prophet.
19:31 | He made me to be blessed wherever I am, and He has charged me with prayer and charity for as long as I shall live.
19:32 | (He has made me) kind to my mother; He has not made me arrogant, unprosperous.
19:33 | Peace be upon me on the day I was born, and on the day I die; and on the day when I shall be raised up alive'
19:34 | Such was (Prophet) Jesus, the son of Mary. A saying of truth, concerning what they doubt.
19:35 | It is not for Allah to take a son! Exaltations to Him! When He decrees a thing He only says: 'Be' and it is.
19:36 | Indeed, Allah is my Lord and your Lord therefore worship Him. That is the Straight Path.
19:37 | But the parties have fallen into variance among themselves, then woe to those who disbelieve for the scene of a Dreadful Day.
19:38 | How well they will hear and see on the Day when they come before Us! The evildoers are today in clear error.
19:39 | Warn them of that Day of Anguish, when the matter is determined whilst heedlessly they disbelieve.
19:40 | For We shall inherit the earth and all that are on it. To Us, they shall return.
19:41 | Mention in the Book Abraham; He was truthful and a Prophet.
19:42 | He said to his father: 'O father, why worship that which can neither see nor hear, nor helps you in anything?
19:43 | Father, knowledge has come to me which has not come you, therefore, follow me. I will guide you to a Level Path.
19:44 | Father, do not worship satan; for satan has rebelled against the Merciful.
19:45 | Father, I fear that the punishment of the Merciful will fall upon you and you will become a guide of satan'
19:46 | But he replied: 'Do you shrink away from my gods, Abraham? Surely, if you do not cease I will stone you, so leave me for awhile'
19:47 | 'Peace be on you' he (Abraham) said, 'I shall call upon my Lord to forgive you, for to me He has been gracious.
19:48 | Now I will go away from you and that you call upon, other than Allah. I will call on my Lord. Perhaps I shall not be unblessed in calling my Lord'
19:49 | So when he turned away from them and those they worshipped, other than Allah, We gave him Isaac and Jacob. Each of them We made a Prophet,
19:50 | and We gave them of Our Mercy and We appointed to them a truthful, highly sincere tongue,
19:51 | Mention in the Book, Moses. He was devoted, a Messenger, and a Prophet.
19:52 | We called out to him from the right side of the mountain, and drew him near in (Divine) conversation.
19:53 | From Our Mercy We gave him, his brother Aaron, a Prophet.
19:54 | And mention in the Book, Ishmael; he too was true to his promise, a Messenger and a Prophet.
19:55 | And he ordered his people to pray and to give charity and his Lord was pleased with him.
19:56 | And mention in the Book, Idris; he too was of the truth and a Prophet,
19:57 | We raised him to a high place.
19:58 | These are whom Allah has blessed among the Prophets from among the seed of Adam and of those whom We bore with Noah; the descendants ofAbraham, of Israel, and of those whom We have guided and chose. For when the verses of the Merciful were recited to them, they fell down prostrate, weeping.
19:59 | But the generation that succeeded them wasted their prayers and followed their desires, so they shall encounter error
19:60 | except he who repents and believes and does good works; those shall be admitted to Paradise and shall not be wronged in any way.
19:61 | (They shall enter the) Gardens of Eden, which the Merciful has promised His worshipers in the Unseen. Indeed, His promise shall come.
19:62 | There, they shall hear no idle talk, but only peace. And there they shall be given their provision at dawn and at the evening.
19:63 | That is the Paradise which We shall give the cautious worshipers to inherit.
19:64 | (Gabriel said:) 'We do not descend except at the command of your Lord. To Him belongs all that is before us and all that is behind us, and all that lies between. Your Lord does not forget.
