20:1 | TaHa.
20:2 | We have not sent down the Koran to you for you to be tired,
20:3 | but as a reminder to he who fears.
20:4 | It is a sending down from Him who has created the earth, and the high heavens,
20:5 | the Merciful willed to the Throne.
20:6 | To Him belongs all that is in the heavens and the earth, and all that lies between them, and underneath the soil.
20:7 | If you speak loudly; He has indeed knowledge of the secret and the hidden.
20:8 | Allah, there is no god except He. To Him belong the most Beautiful Names.
20:9 | Has the story of Moses reached you?
20:10 | When he saw a fire, he said to his family: 'Stay here, for I can see a fire. Perhaps I can bring you a lighted torch or find at the fire guidance'
20:11 | When he reached it, he was called: 'O Moses,
20:12 | I am your Lord. Take off your shoes, for you are in Towa, the sacred valley.
20:13 | I have chosen you. Therefore, listen to what shall be revealed.
20:14 | Indeed, I am Allah. There is no god except Me. Worship Me, and establish the prayer of My remembrance.
20:15 | The Hour is coming. I almost conceal it, so that every soul will be recompensed for its labors.
20:16 | Do not let those who disbelieve in it and follow their desires bar you from it, or you will perish.
20:17 | What is that in your right hand, Moses'
20:19 | He said: 'Moses, cast it down'
20:20 | So he cast it down, and thereupon it turned into a sliding serpent.
20:21 | 'Take it, and do not fear' He said, 'We will restore it to its former state.
20:22 | Now, put your hand under your armpit. It shall come out white, without evil, a second sign.
20:23 | But We shall show you some of Our greatest signs.
20:25 | 'Lord' said Moses, 'expand my chest,
20:26 | and ease my task for me.
20:27 | Unloose the knot upon my tongue,
20:28 | that they may understand my speech.
20:29 | Appoint for me a minister from my family
20:30 | Aaron, my brother.
20:31 | By him confirm my strength
20:32 | and let him share my task,
20:33 | so that we exalt You
20:34 | and remember You abundantly.
20:35 | You are surely seeing us'
20:36 | He replied: 'Moses, your request is granted.
20:37 | We had already shown you favor
20:38 | when We revealed what was to be made known to your mother,
20:40 | Your sister went (to them) and said: 'Shall I guide you to one who will nurse him' And so We restored you to your mother, so that her eyes might rejoice and that she might not sorrow. And when you killed a soul We saved you from grief and then We tried you with many trials. You stayed among the people of Midian for a number of years, and then, Moses, you came here according to a decree.
20:41 | I have chosen you for Me.
20:42 | Go, you and your brother with My signs, and do not be negligent of My Remembrance.
20:43 | Go to Pharaoh, for he has become insolent.
20:44 | Speak to him with gentle words; perhaps he will ponder or fear'
20:45 | 'O our Lord' both said, 'We fear lest he may be excessive against us or become insolent'
20:46 | He replied: 'Have no fear I shall be with you, both hearing and seeing.
20:49 | He (Pharaoh) said: 'Moses, who is the Lord of you both'
20:50 | 'Our Lord' he replied, 'is He Who gave everything its creation and then guided it'
20:51 | He (Pharaoh) asked: 'How was it then, with the former generations'
20:52 | He (Moses) answered: 'The knowledge of them is in a Book with My Lord. My Lord neither goes astray, nor forgets.
20:53 | It is He who has made for you the earth as a cradle and threaded roads for you and sends down water from the sky with which We bring forth every kind of plant.
20:54 | You eat and let your cattle graze' Surely, in this there are signs for those of understanding.
20:55 | We created you from it (the earth), and to it We shall restore you; and from it We will bring you forth yet a second time.
20:56 | So We showed him (Pharaoh) Our signs, all of them, but he belied and refused them.
20:57 | He said: 'Moses, have you come to drive us from our land with your sorcery?
20:58 | We will indeed bring sorcery similar to yours. Appoint a meeting place between us and you, in a place which is agreeable to both which neither we nor you shall not fail (to keep)'
