21:1 | The Reckoning for mankind is drawing near, yet they are heedless and turn away.
21:2 | No recent revival of the remembrance comes to them from their Lord, except that they play with it as they listen
21:3 | their hearts are diverted. The harmdoers mutter to one another: 'Is this anything else but a human like yourself? What, will you follow sorcery with your eyes open'
21:4 | He said: 'My Lord has knowledge of what is said in the heavens and on earth. He is the Hearer, the Knower'
21:5 | Some say: 'No, it is only mixed dreams' 'No, he has forged it himself', or, 'no, he is a poet! Let him bring us a sign, just as the ancient ones were sent asMessengers'
21:6 | Of the villages We destroyed, there was not one that believed. What, will they not believe?
21:7 | We never sent (anyone) before you except men to whom We revealed to them. 'Ask the people of the Remembrance if you do not know'
21:8 | Nor did We make them bodies that ate no food, nor were they immortal.
21:9 | Then We were true to the promise, We saved them together with those whom We willed, and destroyed the transgressors.
21:10 | Now, We have sent down to you a Book in which is your Remembrance. Will you not understand?
21:11 | How many harmdoing villages have We shattered and replaced them with another nation.
21:12 | And when they felt Our Might they fled from it.
21:13 | 'Do not run away. Return to your luxury that you rejoiced in, and your homes in order that you be questioned'
21:14 | They said: 'Alas for us we were harmdoers'
21:15 | And this they did not stop crying out until We made them stubble, silent, and still.
21:16 | It was not in play that We created the heavens and the earth and all that lies between them.
21:17 | Had We wished to take to Us an amusement We would have taken it to Us from Ours had We done so.
21:18 | No, We hurl truth at falsehood, and it shall conquer it, and see, falsehood vanishes. Woe to you for all you have described.
21:19 | To Him belongs whosoever is in the heavens and the earth. Those who are with Him are not too proud to worship Him, nor are they ever wearied.
21:20 | They never fail to exalt Him either at night or in the day.
21:21 | Or, have they taken earthly gods who revive the dead?
21:22 | Had there been gods in heaven or earth, other than Allah, both would indeed have been ruined. Exalted be Allah, Lord of the Throne, above that they describe.
21:23 | He is not to be questioned about what He does, but they shall be questioned.
21:24 | Have they taken gods, other than Him? Say: 'Bring us your proof! Here is the Remembrance of he who is with me and the Remembrance of those before me' But no, most of them do not know the truth, therefore they turn away.
21:25 | We never sent a Messenger before you except that We revealed to him saying: 'There is no god except Me, therefore, worship Me'
21:26 | They say 'The Merciful has taken a son' Exaltations to Him! No, they are only His honored worshipers,
21:27 | who do not surpass Him in speech, and do as He commands.
21:28 | He knows what is before them and what is behind them. They intercede for none except for him whom He is well pleased, and they tremble in awe of Him.
21:29 | If any one of them says: 'I am a god other than Him' We will recompense him with Gehenna (Hell). As such We recompense the harmdoers.
21:30 | Have the unbelievers not seen that the heavens and the earth were sewn up as one (solid) mass, then We unstitched them, and that We made every living thing of water? Will they not believe!
21:31 | We set firm mountains upon the earth lest it should shake with them, and We placed therein ravines to be paths so that they might be guided.
21:32 | We established the heaven as a well protected roof, yet they still turn away from its signs.
21:33 | It is He who created the night and the day, and the sun and the moon; each floating in an orbit.
21:34 | We have never assigned immortality to a human before you, therefore, if you yourself die, will they live for ever?
21:35 | Every soul shall taste death. We will try you with a trial of evil and good. Then, to Us you shall be returned.
21:36 | When the unbelievers see you, they take you only for mockery, saying: 'Is this he who talks about your gods' While they are unbelievers in the Remembrance of the Merciful.
21:37 | The human was created of haste. Indeed, I will show you My signs; so do not ask Me to hasten them.
21:38 | They say: 'If you are truthful, when will this promise come'
21:39 | If the unbelievers only knew when they will be unable to shield either their faces or their backs from the Fire; when they will not be helped!
21:40 | It will overtake them suddenly, dumbfounding them. They shall be unable to ward it off, and they shall not be respited.
21:41 | Before you, other Messengers were mocked, but the mockers were encompassed by the very thing they mocked.
21:42 | Say: 'Who will guard you, by night and by day from the Merciful' But no, they turn away from their Lord's remembrance.
21:43 | Or have they gods to defend them, other than Us? Indeed, they are unable to help themselves, neither shall they be guarded in safety from Us.
21:44 | We gave days of enjoyment to them and their fathers until their life became long. Are they unable to see how We come to their land and reduce its borders. Or, is it they who are the victors?
21:45 | Say: 'I warn you only by the Revelation' But the deaf hear nothing when they are warned.
21:46 | But if just a breath of your Lord's punishment were to touch them, they would say: 'Woe for us, we were harmdoers'
21:47 | On the Day of Resurrection We shall set up just scales, so that no soul shall in the least be wronged, even though it be the weight of a grain of mustard seedWe will bring it We Suffice as reckoners.
21:48 | We gave Moses and Aaron the Criterion, and gave them a light and a Remembrance for the cautious:
21:49 | those who fear Allah in the Unseen, tremble because of the Hour.
21:50 | This is a blessed Remembrance which We have sent down. Do you disbelieve it?
21:51 | Before this We gave Abraham his virtue, for We knew him.
21:52 | He said to his father and to his nation: 'What, are these the statues to which you cling'
21:53 | They replied: 'We found our fathers worshipping them'
21:54 | He said: 'Truly, you and your fathers are in clear error'
21:55 | They said: 'Is it the truth you have brought us, or are you one of those that play'
21:56 | 'No' he answered, 'your Lord is the Lord of the heavens and the earth, the Originator of them, and I am among those bearing witness to it.
21:57 | By Allah, I will certainly outwit your idols as soon as you have turned your backs and gone'
21:58 | He broke them all into pieces, except their great one so that they might return to it.
21:59 | 'Who has done this to our gods' they exclaimed. 'He must surely be a harmdoer'
21:60 | 'We have heard a young man called Abraham mention them' they replied.
21:61 | They said: 'Then bring him here so that the people may see, so that they may bear witness'
21:62 | 'Abraham' they said, 'was it you who did this to our gods'
21:63 | 'No' he replied. 'It was their great one amongst them that did it. Ask them, if they are able to speak'
21:64 | So they returned one to another saying, 'Surely, it is you who are the harmdoers'
21:65 | But then they reversed their minds: 'You know they do not speak'
21:66 | He said: 'Would you then worship that, instead of Allah, which can neither help nor harm you?
21:67 | Shame on you and on that you worship other than Allah! Have you no understanding'
21:68 | They said: 'Burn him and help your gods, if you are going to do anything'
21:69 | 'O Fire' We said, 'be coolness and safety for Abraham'
21:70 | They sought to outwit him, but We made them the worst of losers.
21:71 | We saved him and Lot, and brought them to the land which We had blessed for all the worlds.
21:72 | We gave him, in excess, Isaac, and Jacob (for a grandson); and We made each righteous
21:73 | and appointed them leaders to guide by Our Command and We revealed to them to do good deeds, and to establish the prayer, and the giving of charity, and they were for Us worshipers.
21:74 | To Lot, We gave judgment and knowledge and saved him from the village that had been committing corrupt deeds; for they were an evil nation and were debauched.
21:75 | We admitted him to Our Mercy, he was among the righteous.
21:76 | And (remember) Noah, when he supplicated to Us, We answered him, and We saved him and his nation from great distress,
21:77 | and helped him against the nation who had belied Our signs. They were an evil nation; We drowned them all.
21:78 | And David and Solomon they passed judgment upon the tilled land on which the people? s sheep had strayed. We bore witness to their judgment, and
21:79 | We made Solomon to understand it, and to both We gave judgment and knowledge. And with David We subjected the mountains and birds to exalt (Allah). All this We have done.
21:80 | We taught him the craft of making garments that fortify you against your own violence. Are you thankful?
21:81 | To Solomon the raging wind ran at his command to the land which We had blessed. We have knowledge of all things.
21:82 | And some of the satans dived for him and others did work as well. We were watching over them.
21:83 | And Job when he called to his Lord: 'Affliction has befallen me, and You are the Most Merciful of the merciful'
21:84 | We answered him and removed his affliction, and We gave his people, and those like them that were with them, mercy from Us, as a reminder to those who worship.
