22:1 | O people, have fear of your Lord. The earthquake of the Hour shall be a great thing.
22:2 | On that Day you will see every one that suckles shall forsake her suckling, and every carrier shall miscarry, and you shall see mankind drunk although they arenot drunk; dreadful will be the punishment of Allah.
22:3 | Among people there are those, who without knowledge, dispute about Allah and follow every rebel satan,
22:4 | against whom it is written down that whosoever takes him for a guide, he guides astray, and leads him to the punishment of the Blaze.
22:5 | O people, if you are in doubt about the Resurrection, remember that We first created you from dust, then, from a sperm drop, then from a clot, and then from a bitesize tissue formed and unformed, so that We might clarify for you. We establish in the wombs whatever We will for an appointed term, and then We bring you forth as infants, then you come of age. Some of you die, and some of you are kept back to the vilest state of life, after knowing somewhat, they know nothing. And you see the earth dry; but no sooner do We send down rain upon it than it begins to quiver and swell, putting forth every fine variety (of herbage).
22:6 | That is because Allah is the Truth; He revives the dead and has power over all things.
22:7 | And the Hour is sure to come there is no doubt. And Allah will raise up those in the graves.
22:8 | Some dispute about Allah, though they have neither knowledge nor guidance, nor an illuminating Book.
22:9 | There is for him who turns his side to lead (others) astray from the Path of Allah, degradation in this life and We shall let him taste the punishment of theburning on the Day of Resurrection.
22:10 | 'This, is the reward for what your hands have forwarded. Allah is not unjust to the worshipers'
22:11 | There are among the people such who worship Allah and (yet stand) on the very edge. When goodness comes to him, he is content, but if a trial befalls him he falls upon his face, he loses this world and the Everlasting Life; that is indeed a clear loss.
22:12 | He calls to other than Allah, to that which neither hurts him, nor benefits him; that is indeed far error.
22:13 | He calls upon him whose harm is nearer than his benefit, an evil guide and an evil friend.
22:14 | As for those who believe and do good works Allah will admit them to gardens underneath which rivers flow. Allah indeed does what He will.
22:15 | If any one thinks that Allah will not give him (Prophet Muhammad) victory in this present world and in the Everlasting Life, let him stretch a rope to heaven, and let him sever it. Then, let him see if his guile does away with that which has enraged him.
22:16 | As such We have sent it in clear verses. Indeed, Allah gives guidance to whom He will.
22:17 | Surely, they that believe, and those of Jewry, the Sabaeans, the Nazarenes, the Magians, and the unbelievers, Allah will judge them on the Day of Resurrection. Surely, Allah is witness over everything.
22:18 | Have you not seen that to Allah prostrate all who are in the heavens and all who are in the earth, the sun and the moon, the stars and the mountains, the trees and the beasts, and many people? And many deserve the punishment. He who is abased by Allah has none to honor him. Allah does what He will.
22:19 | Those are two who disputed concerning their Lord. Garments of fire have been prepared for the unbelievers. Boiling water shall be poured over their heads,
22:20 | and that which is in their bellies and their skins shall be melted;
22:21 | for them are hooked rods of iron.
22:22 | Whenever in their anguish they try to get out of it, they are restored to it. (It will be said): 'Taste the punishment of burning'
22:23 | Allah will admit those who believe and do good works to gardens underneath which rivers flow. They shall be adorned therein with bracelets of gold and with pearls, and their garments shall be of silk.
22:24 | For they shall be guided to good speech and guided to the praised path.
22:25 | The unbelievers who bar from the Way of Allah and from the Holy Mosque which We made equal for all peoples, he who cleaves to it and the tentdweller alike, and whosoever seeks to violate it wrongfully, We shall let him taste a painful punishment.
22:26 | And when We settled for Abraham (and Ishmael) the place of the Holy Mosque, (We said): 'You shall not associate with Me anything. Purify My House for those who circumambulate it and those who stand, for those who bow and prostrate.
22:27 | Proclaim the pilgrimage to the people. They will come to you on foot and on every lean camel, they shall come from every deep ravine;
22:28 | that they witness profitable things for them and mention the Name of Allah on well known days over the flocks which He has provided them. Eat thereof, and feed the wretched poor.
22:29 | Then, let the pilgrims accomplish their acts of cleansing, and let them fulfill their vows, and circumambulate the Ancient House.
22:30 | All that; and whosoever venerates the sacred rites of Allah it shall be better for him with his Lord. The flocks are lawful to you, except that which is recited to you. Therefore, avoid the filth of idols and avoid speaking falsely,
22:31 | being of pure faith to Allah, not associating anything with Him. He who associates others with Allah is like he who falls from heaven and is snatched away by the birds or carried by the wind to some faroff place.
22:32 | All that; and, he who venerates the waymarks of Allah, surely it is from the piety of the hearts.
22:33 | In them, you have benefits until an appointed time. After their place of sacrifice is at the Ancient House.
22:34 | For every nation We have appointed a holy ritual, that they pronounce the Name of Allah over the beast of flocks which He has provided them. Your God isOne God; to Him surrender yourselves. Give glad tidings to the humble,
22:35 | whose hearts, when Allah is mentioned, quake, who endure their misfortunes with patience, and establish their prayers, and spend of that which We have provided them.
22:36 | And the camels We have made a part of the waymarks of Allah. In them is good for you. Pronounce over them the Name of Allah, when they are hobbled; and when they have fallen down on their sides, eat of them and feed the impoverished nonrequestor and the requestor. As such We have subjected them to you, in order that you give thanks.
22:37 | Their flesh and blood does not reach Allah rather it is piety from you that reaches Him. As such He has subjected them to you, in order that you exalt Allahfor guiding you. And give glad tidings to the generous.
22:38 | Allah will defend those who believe. Verily, Allah does not love the ungrateful cheat.
22:39 | Permission is given to those who fight because they were wronged. Allah has power to grant them victory:
22:40 | those who have been unjustly driven from their homes, just because they said: 'Our Lord is Allah' Had Allah not repelled some people by the means ofothers, the monasteries and churches, the synagogues and mosques in which the Name of Allah is remembered would have been destroyed. But whoever helps Allah shall be helped by Him. Allah is the Strong, the Almighty,
22:41 | those who, if We established them in the land, will establish the prayers and pay the obligatory charity, order with honor and forbid dishonor, and to Allah is the end of all affairs.
22:42 | If they belie you, so too before them, the nation of Noah belied, and Aad and Thamood
22:43 | and the nation of Abraham and the nation of Lot;
22:44 | and the inhabitants of Midian, to Moses they also belied. I respited the unbelievers, then I seized them, and how was My disapproval!
22:45 | How many a village We have destroyed in its harmdoing, so that it lies fallen upon its turrets, and how many an abandoned well, and empty palace!
22:46 | Have they never journeyed through the land so that they have hearts to understand, or ears to hear with? It is not the eyes, but the hearts in the chests that are blind.
22:47 | They ask you to hasten the punishment. Allah will not break His promise. Each day with your Lord is like a thousand years in your reckoning.
22:48 | And how many a village have I respited in its evil doing! Then I seized it. To Me is the return.
22:49 | Say (Prophet Muhammad): 'O people, I have been sent to warn you plainly.
22:50 | Those who believe and do good works, theirs shall be forgiveness and a generous provision;
22:51 | but those who strive to void Our verses, thinking they have escaped, shall be the people of Hell'
22:52 | Never have We sent a Messenger or a Prophet before you, but when he hoped, satan tampered with his hope. But Allah supersedes the tampering of satan and confirms His verses. And Allah is the Knower, the Wise.
22:53 | (This He permits) in order that He makes satan's interjections a temptation for those in whose hearts is a sickness and those whose hearts are hardened and the harmdoers are in a wide schism,
22:54 | and so that those to whom knowledge has been given will know that this is the truth from your Lord and so believe in it and that their hearts will be humble to Him. Indeed, Allah will surely guide those who believe to a Straight Path.
22:55 | The unbelievers will never cease to doubt it until the Hour overtakes them suddenly or the punishment of the Barren Day comes upon them.
22:56 | The Kingdom upon that Day shall belong to Allah. He will judge between them. Those who believe and do good works shall be in Gardens of Bliss,
22:57 | but for those who disbelieved Our verses and belied there awaits a humbling punishment.
22:58 | As for those who emigrated in the way of Allah and were slain, or died, Allah will provide them with fine provisions. Allah is the Best of providers.
22:59 | He will admit them by a gate that is pleasing to them, and surely, Allah is the Knower, the Clement.
