30:1 | AlifLaamMeem.
30:2 | The Romans have been defeated (by the Persians)
30:3 | in a land close by. But, in a few years after their defeat they shall become the victors.
30:4 | To Allah belongs the Command before and after, and on that Day the believers will rejoice
30:5 | in the victory of Allah. Allah gives victory to whosoever He will, and He is the Mighty, the Merciful.
30:6 | The promise of Allah! Allah does not fail His promise, yet most people do not know.
30:7 | They know an outward part of this life, but of the Everlasting Life they are inattentive.
30:8 | Have they never thought to themselves that Allah did not create the heavens and the earth and all that is between except with truth, and for a stated term? Yet most people disbelieve that they will ever meet their Lord.
30:9 | What, have they never journeyed in the land and seen what was the end of those before them? They were stronger in might than themselves, and they plowed the land and cultivated it more than they themselves have cultivated it. And to them, their Messengers came with clear signs, and Allah did not wrong them, but they wronged themselves.
30:10 | Evil was the end of the harmdoers, because they belied the verses of Allah and mocked at them.
30:11 | Allah originates creation, then brings it back again, then to Him you shall be returned.
30:12 | On the Day when the Hour comes, the wrongdoers will be speechless.
30:13 | They shall have none to intercede for them amongst their associates, and they shall disbelieve in their associates.
30:14 | On the Day when the Hour has come, they will be divided,
30:15 | those who believe and did good deeds shall be well pleased in a garden,
30:16 | but those who disbelieved and belied Our verses and the meeting of the Everlasting Life, shall be arraigned for punishment.
30:17 | Therefore, exalt Allah when you enter the evening and in the morning.
30:18 | His is the praise in the heavens and the earth, at the setting sun and at noon.
30:19 | He brings out the living from the dead, and the dead from the living. He revives the earth after its death. Likewise you shall be brought forth.
30:20 | And of His signs is that He created you from dust and you became humans scattered throughout the earth.
30:21 | And of His signs is that He created for you wives from among yourselves, that you might reside with them, and has put kindness and mercy between you. Surely, there are signs in this for those who think.
30:22 | And His signs are the creation of heavens and earth and the diversity of your tongues and colors. Surely, there are signs in this for all the worlds.
30:23 | And of His signs is that you sleep at night and day, and seek His bounty. Surely, there are signs in this for those who hear.
30:24 | And of His signs is that He shows you the lightning for fear and hope. He sends down water from the sky and with it He revives the earth after its death. Surely, in this there are signs for a nation that understand.
30:25 | And of His signs is that the heaven and earth stand firm at His command. And when He calls you once out of the earth, you shall come forth.
30:26 | To Him belongs whosoever is in the heavens and the earth. All are obedient to His Will.
30:27 | It is He who originates the creation, and then brings it back again, that is easier for Him. For Him is the Highest Example in the heavens and earth He is the Almighty, the Wise.
30:28 | He sets for you an example, drawn from yourselves. Do you have from among those whom your right hand possesses associates in what We have given you, who share it equally with you? Do you fear them as you fear one another? So We made plain Our signs to a nation of understanding.
30:29 | No, the wrongdoers follow their own desires without knowledge. And who can guide those whom Allah has led astray? There shall be none to help them.
30:30 | Therefore set your face to the religion purely, the upright creation upon which He originated people. There is no changing of the creation of Allah. This is the valuable religion, although most people do not know?
30:31 | turning to Him. And fear Him, establish the prayer and do not be of the idolaters,
30:32 | those who have divided their religion, and become sects, each rejoicing in what they have.
30:33 | When affliction befalls mankind they turn to Him calling their Lord in prayer, but when He lets them taste His Mercy, some of them assign associates to their Lord,
30:34 | disbelieving in what We have given them. Enjoy, but you shall soon know.
30:35 | Or have We sent down to them an authority that speaks of that they associate with Him?
30:36 | When We give people a taste of mercy, they rejoice in it, but when evil befalls them through the forwarding of their own hands, they become despondent.
30:37 | Do they not see that Allah outspreads and restricts His provision to whom He will? Surely, there are signs in this for those who believe.
30:38 | And give to the kinsman his due, and to the needy, and to the destitute traveler. That is best for those who desire the Face of Allah; such will surely prosper.
30:39 | That which you give in usury so that it increases in other people's wealth, will not increase with Allah; but the charity you give desiring the Face of Allah, to those, they shall be recompensed many times over.
30:40 | It is Allah who has created you and given you your provision. He will cause you to die, and will then revive you. Can any of your associates do any of that? Exalted is He above what they associate.
30:41 | Corruption has appeared on land and sea with what the hands of the people earned. Therefore, they taste some of what they did in order that they return.
30:42 | Say: 'Journey in the land and see what was the end of those who were before you. Most of them were idolaters'
30:43 | Therefore in purity set your face to the religion, before there comes from Allah a Day that cannot be turned back. On that Day mankind will be separated.
