42:1 | HaMeem
42:2 | 'AeenSeenQaaf
42:3 | As such Allah, the Almighty, the Wise reveals to you (Prophet Muhammad) and to those before you.
42:4 | To Him belongs whatsoever is in the heavens and the earth. He is the High, the Exalted.
42:5 | The heavens nearly break apart above them as the angels exalt with the praise of their Lord and ask forgiveness for those on earth. Indeed Allah is the Forgiving, the Most Merciful.
42:6 | As for those who take guardians for themselves, other than Him, Allah is the Warden over them. You are not a guardian over them.
42:7 | As such We have revealed to you an Arabic Koran, so that you can warn the Mother of Villages (Mecca) and all who live about it, and that you also warn them of the Day of Gathering in which there is no doubt that a division will be in Paradise, and a division in the Blaze.
42:8 | Had it been the Will of Allah, He would have made them all one nation. But He admits into His Mercy whom He will the harmdoers shall have neither a guardian nor helper.
42:9 | Or have they taken to themselves guardians other than Him? But Allah, He is the Guardian. He revives the dead and has power over all things.
42:10 | Whatever you differ upon, its judgement belongs to Allah. Such is Allah, my Lord, in Him I have put my trust, and to Him I turn in repentance.
42:11 | The Originator of the heavens and the earth, He has given you from yourselves, pairs, and also pairs of cattle, thereby multiplying you. There is nothing like Him. He is the Hearer, the Seer.
42:12 | To Him belongs the keys of the heavens and the earth. He outspreads and withholds His provisions to whom He will, surely, He has knowledge of all things.
42:13 | He has made plain for you the Religion with which He charged Noah and that which We have revealed to you, and that with which We charged (Prophets) Abraham, Moses and Jesus, (saying): 'Establish the Religion and do not be divided therein' That which you invite them to is too overwhelming for the idolaters. Allah brings close to Himself whom He will, and guides to Him those who turn in repentance.
42:14 | Yet they became divided only after knowledge had reached them from their own insolence. And had it not been for a Word that had preceded from yourLord, till an appointed term, it would have been determined between them. But those who inherited the Book after them are in disquieting doubt about it,
42:15 | so invite and go straight as you are ordered, and do not follow their desires and say: 'I believe in whatever Book Allah has sent down. I am ordered to be just among you. Allah is our Lord and your Lord. We have our deeds and you have yours; there is no argument between us and you, Allah will bring us all together, to Him is the arrival'
42:16 | As for those who argue concerning Allah after being answered, their arguments will be annulled before their Lord, and His Wrath will fall upon them, and for them there is a terrible punishment.
42:17 | It is Allah who has sent down the Book in truth and the Scale. And what will let you know? The Hour is near.
42:18 | Those who disbelieve in it seek to hasten it, but the believers are in fear of it, knowing it to be the truth. Indeed, those who doubt the Hour have strayed far away.
42:19 | Allah is Subtle towards His worshipers, and provides for whosoever He will. He is the Strong, the Almighty.
42:20 | Whoever hopes for the tillage of the Everlasting Life, We will increase his tillage; and whoever hopes for the tillage of this world, We give him some of it, but in the Everlasting Life he shall have no share.
42:21 | Or do they have associates who have made lawful to them in religion what Allah has not permitted? Had it not been for the Decisive Word, it would have been decided between them. For the evildoers there is a painful punishment.
42:22 | You shall see the harmdoers in fear of what they have earned as it is about to fall on them. But those who believe and do good deeds shall live in the meadows of the Gardens and from their Lord they will have all that they desire that is the great bounty.
42:23 | This is the glad tidings that Allah gives to His worshipers, who believe and do good works. Say: 'For this I ask of you no wage except the love of the (Prophet's) relatives. We will add good to whosoever gains a good deed. Allah is the Forgiving and the Thanker'
42:24 | Or do they say: 'He has forged a lie about Allah? But if Allah wills He could set a seal upon your heart. Allah wipes out falsehood and verifies the truth by His Words. He knows the innermost of the chests.
42:25 | It is He who accepts the repentance of His worshipers and pardons their evil deeds. He has knowledge of what you do.
