55:1 | The Merciful
55:2 | has taught the Koran.
55:3 | He created the human
55:4 | and taught him its pronunciation.
55:5 | The sun and the moon to a reckoning.
55:6 | The stars and the trees prostrate themselves.
55:7 | He raised the heaven on high and set the scale.
55:8 | Do not transgress the scales.
55:9 | Give just weight and do not skimp the scales.
55:10 | He set down the earth for the creation.
55:11 | Therein are fruits and palm trees with sheaths,
55:12 | the grain in the blade; and aromatic herbs.
55:13 | Which favors of your Lord will you both (humans and jinn) belie?
55:14 | He created the human from clay, like earthenware
55:15 | and He created the jinn from smokeless fire.
55:16 | Which favors of your Lord will you both belie?
55:17 | The Lord of the Two Easts, the Lord of the Two Wests.
55:18 | Which favors of your Lord will you both belie?
55:19 | He has let forth the two seas, they meet together,
55:20 | and between them is a barrier which they do not overpass.
55:21 | Which favors of your Lord will you both belie?
55:22 | Pearls and corals come from both.
55:23 | Which favors of your Lord will you both belie?
55:24 | Also, His are the ships that run, raised up like mountains upon the sea.
55:25 | Which favors of your Lord will you both belie?
55:26 | All that live on it will perish.
55:27 | Yet the Face of your Lord will abide forever, Majestic and Splendid.
55:28 | Which favors of your Lord will you both belie?
55:29 | Whosoever is in the heaven and earth ask Him. Every day He is upon an affair (He reveals according to His Eternal determination).
55:30 | Which favors of your Lord will you both belie?
55:31 | We shall surely aim, O both burdened.
55:32 | Which favors of your Lord will you both belie?
55:33 | Tribe of jinn and of human, if you are able to penetrate the provinces of heaven and earth, pass through them! But you shall not pass through except with a power!
55:34 | Which favors of your Lord will you both belie?
55:35 | Flames of fire and molten copper shall be loosed against you, and you shall not be helped.
55:36 | Which favors of your Lord will you both belie?
55:37 | When the heaven splits asunder and turns crimson, like red leather.
55:38 | Which favors of your Lord will you both belie?
55:39 | On that Day, neither human nor jinn shall be asked about his sin.
55:40 | Which favors of your Lord will you both belie?
55:41 | The sinners shall be known by their mark, they shall be seized by their forelocks and their feet.
55:42 | Which favors of your Lord will you both belie?
55:43 | This is Gehenna (Hell) which the sinners belied,
55:44 | they shall go round between it, and between a hot, boiling water.
55:45 | Which favors of your Lord will you both belie?
55:46 | And for he who fears the standing (before) his Lord there are two Gardens.
55:47 | Which favors of your Lord will you both belie?
55:48 | (Gardens) with many branches.
55:49 | Which favors of your Lord will you both belie?
55:50 | Therein are two running fountains.
55:51 | Which favors of your Lord will you both belie?
55:52 | Therein are two kinds of every fruit.
55:53 | Which favors of your Lord will you both belie?
55:54 | (They shall) recline on couches lined with brocade, and the fruits of the Gardens will be near at hand.
55:55 | Which favors of your Lord will you both belie?
55:56 | Therein are maidens who restrain their glances, whom neither human nor jinn have touched before.
55:57 | Which favors of your Lord will you both belie?
55:58 | As (lovely as) rubies and as (beautiful as) coral.
55:59 | Which favors of your Lord will you both belie?
55:60 | Shall the recompense of goodness be anything other than goodness?
55:61 | Which favors of your Lord will you both belie?
55:62 | And beside these there shall be two Gardens.
55:63 | Which favors of your Lord will you both belie?
55:64 | The greenest of green pastures.
55:65 | Which favors of your Lord will you both belie?
55:66 | Therein are two gushing fountains of water.
55:67 | Which favors of your Lord will you both belie?
55:68 | In them are fruits, palm trees and pomegranates.
55:69 | Which favors of your Lord will you both belie?
55:70 | In them shall be good and pleasing.
55:71 | Which favors of your Lord will you both belie?
55:72 | Maidens (of Paradise, Houris) in cloistered cool pavilions.
55:73 | Which favors of your Lord will you both belie?
55:74 | Neither human nor jinn will have touched them before.
55:75 | Which favors of your Lord will you both belie?
55:76 | Reclining on green cushions and fine carpets.
55:77 | Which favors of your Lord will you both belie?
55:78 | Blessed be the Name of your Lord, Majestic, Splendid.
