9:1 | An acquittal from Allah and His Messenger to the idolaters with whom you have made agreements;
9:2 | 'For four months you shall journey freely in the land. But know that you shall not render Allah incapable, and that Allah will humiliate the unbelievers'
9:3 | A proclamation from Allah and His Messenger, to the people on the day of the Grand Pilgrimage; 'Allah rejects, and His Messenger (rejects) the idolaters. So if you repent, that will be better for you; but if you turn your backs, know that you cannot frustrate Allah. And give glad tidings to the unbelievers of a painful punishment,
9:4 | except those idolaters who have fully honored their treaties with you and aided none against you. With these fulfill your covenant till their term. Surely, Allah loves the righteous.
9:5 | When the sacred months are over, slay the idolaters wherever you find them. Take them and confine them, then lie in ambush everywhere for them. If they repent and establish the prayer and pay the obligatory charity, let them go their way. Allah is Forgiving and the Most Merciful.
9:6 | If an idolater seeks asylum with you, give him protection in order that he hears the Word of Allah, and then convey him to his place of safety, because they are a nation who do not know.
9:7 | How can the idolaters have any treaty with Allah and His Messenger, except those with whom you have made treaties by the Sacred Mosque? So long as they are straight with you, so be straight with them. Allah loves the righteous.
9:8 | How? If they prevail against you they will respect neither agreements nor ties of kindred. They satisfy you with their tongues, but their hearts are averse; and most of them are wicked.
9:9 | They sell the verses of Allah for a small price and bar others from His Path. Evil is what they have been doing.
9:10 | They honor with the believers neither bonds nor treaties. Such are the transgressors.
9:11 | If they repent and establish the prayer and pay the obligatory charity, they shall become your brothers in the religion. So We make plain Our verses for a nation that knows.
9:12 | But if, after coming to terms with you, they break their oaths and revile your belief, fight the leaders of the disbelief for they have no oaths in order that they will desist.
9:13 | Will you not fight against those who have broken their oaths and conspired to expel the Messenger? They were the first to attack you. Do you fear them? Surely, Allah has better rights that you fear Him, if you are believers.
9:14 | Fight them, Allah will punish them with your hands and degrade them. He will grant you victory over them and heal the chests of a believing nation.
9:15 | He will take away all anger from their hearts: Allah turns to whomsoever He will. Allah is Knowing, Wise.
9:16 | Did you suppose that you would be left before Allah has known those of you who fought and did not take a confidant other than Allah, His Messenger, and the believers? Allah is Aware of what you do.
9:17 | Idolaters should not inhabit the mosques of Allah bearing witness against themselves with disbelief. Those, their deeds have been annulled, and in the Fire they shall live for ever.
9:18 | None should inhabit the mosques of Allah except those who believe in Allah and the Last Day, establish their prayers and pay the obligatory charity, and fear none except Allah. May these be among the guided.
9:19 | Do you consider giving drink to the pilgrims and inhabiting the Sacred Mosque is the same as one who believes in Allah and the Last Day, and struggles in the Way of Allah? These are not held equal by Allah. Allah does not guide the harmdoers.
9:20 | Those who believe, and migrated, and struggle in the Way of Allah with their wealth and their persons are greater in rank with Allah. It is they who are the winners.
9:21 | Their Lord gives them glad tidings of mercy from Him, and pleasure; for them await gardens in which there is eternal bliss.
9:22 | where they shall live for ever. The wage with Allah is great indeed.
9:23 | Believers, do not take your fathers or your brothers for a guide if they love disbelief rather than belief. Whosoever of you takes them for guides are the harmdoers.
9:24 | Say: 'If your fathers, your sons, your brothers, your wives, your tribes, the property you have acquired, the merchandise you fear will not be sold, and the homes you love, are dearer to you than Allah, His Messenger and the struggling for His Way, then wait until Allah shall bring His command. Allah does not guide the evildoers'
9:25 | Allah has helped you on many a battlefield. In the Battle of Hunain, when your numbers were pleasing you they availed you nothing; the earth, for all its vastness, seemed to close in upon you and you turned your backs and fled.
9:26 | Then, Allah caused His tranquility (sechina) to descend upon His Messenger and the believers; He sent legions you did not see and sternly punished the unbelievers. Such is the recompense of the unbelievers.
9:27 | Yet thereafter, Allah turns to whom He will. He is the Forgiving, the Most Merciful.
9:28 | Believers, the idolaters are unclean. Do not let them approach the Sacred Mosque after this year. If you fear poverty, Allah, if He wills, will enrich you through His bounty. He is Knowing, Wise.
9:29 | Fight those who neither believe in Allah nor the Last Day, who do not forbid what Allah and His Messenger have forbidden, and do not embrace the religion of the truth, being among those who have been given the Book (Bible and the Torah), until they pay tribute out of hand and have been humiliated.
