verse|context
101:1|The Clatterer (the Day of Judgement)!
101:2|What is the Clatterer.
101:3|What shall let you know what the Clatterer is!
101:4|On that Day people shall become like scattered moths
101:5|and the mountains like tufts of carded wool.
101:6|Then he whose deeds weigh heavy in the Scale
101:7|shall live in a life which is pleasing,
101:8|but he whose weight is light in the Scale,
101:9|his head will be in the Plunging
101:10|What shall let you know what the Plunging is?
101:11|(It is) a Fire which is extremely hot.
